House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Simmons Meadow,Andrea,Bradley,43,Head,Married,Female,Prison officer,Unknown,Unknown
1,Simmons Meadow,Peter,Bradley,44,Husband,Married,Male,Futures trader,Unknown,Unknown
1,Simmons Meadow,Lauren,Bradley,5,Daughter,Unknown,Female,Student,Unknown,Unknown
1,Simmons Meadow,Henry,Bradley,5,Son,Unknown,Male,Student,Unknown,Unknown
1,Simmons Meadow,Edward,Slater,25,Lodger,Divorced,Male,Further education lecturer,Unknown,Unknown
2,Simmons Meadow,Melanie,O'Brien,24,Head,Divorced,Female,"Production assistant, television",Unknown,Unknown
2,Simmons Meadow,Lucy,O'Brien,3,Daughter,Unknown,Female,Child,Unknown,Unknown
3,Simmons Meadow,Tina,Palmer,105,Head,Widowed,Female,Retired,Unknown,Christian
4,Simmons Meadow,Jeremy,Sutton,73,Head,Widowed,Male,Retired,Unknown,Christian
4,Simmons Meadow,Suzanne,Sutton,19,Granddaughter,Single,Female,University Student,Unknown,Christian
4,Simmons Meadow,Pamela,Sutton,10,Granddaughter,Unknown,Female,Student,Unknown,Unknown
4,Simmons Meadow,Justin,Sutton,10,Grandson,Unknown,Male,Student,Unknown,Unknown
4,Simmons Meadow,Benjamin,Sutton,10,Grandson,Unknown,Male,Student,Unknown,Unknown
5,Simmons Meadow,Julian,Marshall,57,Head,Divorced,Male,Barrister's clerk,Unknown,Christian
6,Simmons Meadow,Beverley,Jones,30,Head,Divorced,Female,"Nurse, adult",Unknown,Unknown
6,Simmons Meadow,Bethan,Jones,2,Daughter,Unknown,Female,Child,Unknown,Unknown
7,Simmons Meadow,Marcus,Hanson,88,Head,Married,Male,Retired,Unknown,Christian
7,Simmons Meadow,Cheryl,Hanson,85,Wife,Married,Female,Retired,Unknown,Unknown
8,Simmons Meadow,Bernard,Smith,73,Head,Widowed,Male,Retired,Unknown,Unknown
9,Simmons Meadow,Scott,Nelson,52,Head,Single,Male,"Pharmacist, community",Unknown,Unknown
9,Simmons Meadow,Bruce,Burns,56,Unknown,Single,Male,"Scientist, water quality",Unknown,Christian
10,Simmons Meadow,Danielle,Price,28,Head,Single,Female,Unemployed,Unknown,Christian
10,Simmons Meadow,Bryan,Price,2,Son,Unknown,Male,Child,Unknown,Unknown
10,Simmons Meadow,Glenn,Doherty,25,Lodger,Divorced,Male,Consulting civil engineer,Unknown,Unknown
11,Simmons Meadow,Melissa,Hargreaves,47,Head,Single,Female,Actuary,Unknown,Unknown
11,Simmons Meadow,Charlie,James,47,Partner,Single,Male,Housing manager/officer,Unknown,Unknown
1,Morgan Avenue,Graeme,Webb,20,Head,Single,Male,University Student,Unknown,Catholic
1,Morgan Avenue,Bethany,Johnson,19,Partner,Single,Female,Counsellor,Unknown,Catholic
2,Morgan Avenue,Frank,Davies,75,Head,Widowed,Male,Retired,Unknown,Christian
3,Morgan Avenue,Denise,Sharp,59,Head,Married,Female,Television/film/video producer,Unknown,Christian
3,Morgan Avenue,Jason,Sharp,57,Husband,Married,Male,Air traffic controller,Unknown,Christian
4,Morgan Avenue,Kate,Green,42,Head,Single,Female,Insurance account manager,Unknown,Unknown
5,Morgan Avenue,Simon,Barnes,75,Head,Widowed,Male,Retired,Unknown,Catholic
6,Morgan Avenue,Jay,Martin,61,Head,Single,Male,Immunologist,Unknown,Christian
7,Morgan Avenue,Daniel,Patel,67,Head,Married,Male,Retired,Unknown,Muslim
7,Morgan Avenue,Rosie,Patel,66,Wife,Married,Female,Retired,Unknown,Muslim
8,Morgan Avenue,Marc,Brown,76,Head,Married,Male,Retired,Unknown,Christian
8,Morgan Avenue,Christine,Brown,77,Wife,Married,Female,Retired,Unknown,Unknown
9,Morgan Avenue,Helen,Gilbert,50,Head,Single,Female,"Copywriter, advertising",Unknown,Christian
9,Morgan Avenue,Lynne,Gilbert,26,Daughter,Single,Female,Charity officer,Unknown,Christian
10,Morgan Avenue,Russell,Lyons,27,Head,Divorced,Male,Early years teacher,Unknown,Muslim
11,Morgan Avenue,Harriet,Graham,55,Head,Single,Female,Exhibition designer,Unknown,Unknown
11,Morgan Avenue,Jeffrey,Green,53,Partner,Single,Male,"Sound technician, broadcasting/film/video",Unknown,Unknown
12,Morgan Avenue,Brian,Miles,28,Head,Single,Male,Energy manager,Unknown,Muslim
12,Morgan Avenue,Sylvia,Clarke,29,Partner,Single,Female,"Pilot, airline",Unknown,Unknown
12,Morgan Avenue,Gareth,Miles,11,Son,Unknown,Male,Student,Unknown,Unknown
13,Morgan Avenue,Ruth,Field,22,Head,Single,Female,University Student,Unknown,Unknown
14,Morgan Avenue,Katy,Barker,44,Head,Single,Female,Merchant navy officer,Unknown,Unknown
15,Morgan Avenue,Liam,Singh,30,Head,Single,Male,Restaurant manager,Unknown,Christian
16,Morgan Avenue,Alexandra,Clarke,64,Head,Married,Female,"Designer, multimedia",Unknown,Christian
16,Morgan Avenue,Jason,Clarke,68,Husband,Married,Male,Retired,Unknown,Unknown
16,Morgan Avenue,Laura,Clarke,38,Daughter,Single,Female,"Surveyor, quantity",Unknown,Christian
17,Morgan Avenue,Mohamed,Cameron,34,Head,Single,Male,"Designer, ceramics/pottery",Unknown,Unknown
17,Morgan Avenue,Irene,Murphy,32,Partner,Single,Female,Actor,Unknown,Unknown
18,Morgan Avenue,Abigail,Davis,37,Head,Single,Female,Dentist,Unknown,Unknown
18,Morgan Avenue,Adrian,Davis,13,Son,Unknown,Male,Student,Unknown,Unknown
19,Morgan Avenue,Anna,Russell,69,Head,Widowed,Female,Retired,Unknown,Unknown
20,Morgan Avenue,Samantha,Price,81,Head,Widowed,Female,Retired,Unknown,Unknown
21,Morgan Avenue,Dennis,Richardson,47,Head,Divorced,Male,Advertising account planner,Unknown,Unknown
22,Morgan Avenue,Oliver,Potter,44,Head,Single,Male,Electronics engineer,Unknown,Catholic
23,Morgan Avenue,Robin,Edwards,60,Head,Married,Male,Fast food restaurant manager,Unknown,Catholic
23,Morgan Avenue,Sarah,Edwards,56,Wife,Married,Female,Engineering geologist,Unknown,Unknown
24,Morgan Avenue,Geraldine,Lyons,72,Head,Widowed,Female,Retired,Unknown,Christian
25,Morgan Avenue,Dawn,Heath,59,Head,Single,Female,Unemployed,Unknown,Christian
25,Morgan Avenue,Daniel,Heath,31,Son,Single,Male,"Therapist, drama",Unknown,Christian
26,Morgan Avenue,Annette,Wong,54,Head,Single,Female,Solicitor,Unknown,Christian
27,Morgan Avenue,Alison,Wood,83,Head,Divorced,Female,Retired,Unknown,Unknown
28,Morgan Avenue,Kirsty,Ferguson,19,Head,Single,Female,University Student,Unknown,Unknown
29,Morgan Avenue,Tom,Hughes,41,Head,Married,Male,Hydrologist,Unknown,Catholic
29,Morgan Avenue,Jenna,Hughes,39,Wife,Married,Female,Herbalist,Unknown,Unknown
30,Morgan Avenue,Kirsty,Tucker,33,Head,Married,Female,Retail buyer,Unknown,Unknown
30,Morgan Avenue,Martin,Tucker,33,Husband,Married,Male,Computer games developer,Unknown,Unknown
30,Morgan Avenue,Denise,Tucker,4,Daughter,Unknown,Female,Child,Unknown,Unknown
31,Morgan Avenue,Jennifer,Todd,48,Head,Single,Female,Unemployed,Unknown,Christian
32,Morgan Avenue,Jake,Fisher,75,Head,Widowed,Male,Retired,Unknown,Methodist
33,Morgan Avenue,Derek,Dawson,56,Head,Divorced,Male,Recycling officer,Unknown,Unknown
34,Morgan Avenue,Joshua,Owens,31,Head,Married,Male,"Therapist, sports",Unknown,Catholic
34,Morgan Avenue,Irene,Owens,28,Wife,Married,Female,"Buyer, industrial",Unknown,Catholic
35,Morgan Avenue,Kayleigh,Grant,60,Head,Married,Female,Automotive engineer,Unknown,Catholic
35,Morgan Avenue,Terence,Grant,62,Husband,Married,Male,IT trainer,Unknown,Catholic
35,Morgan Avenue,Jade,Grant,43,Daughter,Single,Female,Museum/gallery conservator,Unknown,Catholic
37,Morgan Avenue,Vincent,Marsh,70,Head,Divorced,Male,Retired,Unknown,Methodist
38,Morgan Avenue,Nathan,Adams,55,Head,Single,Male,Adult nurse,Unknown,Catholic
39,Morgan Avenue,Vanessa,Blackburn,46,Head,Married,Female,Gaffer,Unknown,Unknown
39,Morgan Avenue,Eric,Blackburn,54,Husband,Married,Male,Statistician,Unknown,Unknown
39,Morgan Avenue,Clive,Blackburn,16,Son,Unknown,Male,Student,Unknown,Unknown
40,Morgan Avenue,Janet,Knight,26,Head,Divorced,Female,"Psychologist, occupational",Unknown,Muslim
41,Morgan Avenue,Paula,Young,19,Head,Single,Female,University Student,Unknown,Unknown
